feature,train_auc_drop_mean,train_auc_drop_std,train_aupr_drop_mean,train_aupr_drop_std,test_auc_drop_mean,test_auc_drop_std,test_aupr_drop_mean,test_aupr_drop_std
salt_bridge_percent,0.0024257720837690456,0.00014196722494487637,0.02291690882941886,0.0011519306802461775,0.001575997950219371,0.00121897506395976,0.0023354384087143744,0.0010012953332400889
all_plddt_min,0.0008852159378806845,3.740527708399327e-05,0.008826854269547896,0.00034974404383226467,0.0024143361795885276,0.000863943027858983,0.0021366614834681776,0.0007777192950552412
all_plddt_mean,0.0009397267153369415,4.3153327242811135e-05,0.009377046586325415,0.00041385003022759224,0.0016907480736324699,0.0006554073759854877,0.002094413266493217,0.0007071497311813891
if_plddt_max,0.0030788888072195266,5.354652033423717e-05,0.03261575886536464,0.0005273000941608584,0.0014163630421638207,0.0007565199016633516,0.0020242970800154747,0.000757287642097515
iptm_d0chn_max,0.00044974577923860283,3.6464672906511384e-05,0.004401442511371057,0.00042097978516028443,0.0006132153090001536,0.0008573143896252449,0.0019917875824275455,0.0005880936359028553
plddt_A,0.0013826250118786742,8.679345397680987e-05,0.013687805595315789,0.0006055730865913179,0.0029998780765613854,0.0007778771460098938,0.0018993741003539232,0.0007567347145076698
domain_coverage,0.0011971269180564125,7.035726837728967e-05,0.012330177140887678,0.000623679743130343,0.003210115795181323,0.0008105990731999423,0.001687959718971549,0.0006112407753710425
n0dom,0.000732801028297908,2.808189191476698e-05,0.0073209527561314105,0.0002797357101508487,0.0034330958882006603,0.0009273043031088521,0.001468280195267846,0.0005136124317183024
all_plddt_max,0.0020635423734550627,7.308363707038977e-05,0.022570980382734945,0.000781765638713209,0.0021580334024384417,0.0007923041504713523,0.0013723526726379831,0.0008074213007108754
n0res_max,0.000537268929324225,3.405363460446564e-05,0.00549806665519435,0.0003845502629829049,0.0005496753215500361,0.0008459706376488178,0.0013523243099528403,0.0007235580597985977
n_positive_contacts,0.0010620466906265057,3.4093621727298876e-05,0.01120756928502275,0.0002928780396779924,0.002787188138407737,0.0009792177955478772,0.0013520981479939298,0.0006381708301770025
if_residues_num,0.0004606932541602993,3.7616137057712646e-05,0.005038792448307172,0.0003358360382246335,0.0017010955233470626,0.000783436070793621,0.0010728143837531346,0.0006460590325713891
n0chn,0.0007264987949988699,1.9460988757098993e-05,0.007989723279751065,0.000214555400085999,0.0013566847275307936,0.0004074893107142423,0.0010688522822465464,0.0004125487541965317
pdockq_e_v2,0.0008721087088508717,2.1492016605179397e-05,0.008762695534636756,0.00015343752716689103,0.001682635123025672,0.0011787934995040005,0.0008912185424286678,0.0007503940372134703
d0chn,0.0007348828896348913,2.316961942192061e-05,0.008069105796522374,0.00025238025768554285,0.0009849442887806203,0.0006054145782794482,0.0006403713194889582,0.0004376385895825125
backbone_percent,0.000819318653520057,2.9404288962998964e-05,0.008696610887403,0.0003262215408478436,0.0008193621754073677,0.0004894690142606033,0.000628251146057579,0.0004233955129150442
num_residue_contacts,0.00045389533959058206,2.688445473715981e-05,0.005131377677585458,0.0002625291394189036,0.0006402011828405662,0.000710603937370432,0.0005901347109634414,0.0004819776151631263
h_bond_percent,0.0010370855980656568,4.218435545031071e-05,0.01114736976238916,0.0004959751434052547,0.00044005881659996414,0.0004355035897913019,0.0004312716735797806,0.00042884537346052907
if_plddt_avg,0.0010759470096894596,1.76144147005397e-05,0.01072543457773643,0.0001352976183247977,0.001306288178422449,0.0007537588948711099,0.0003082079678593197,0.0005315925739818987
all_pae_mean,0.0010856836060784357,3.684545210998421e-05,0.011562205938902332,0.0003909932210620998,0.0004291040414868497,0.000467684985432963,0.00029246505045150696,0.00036893346077710744
